track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track,year,month
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,2020-05-08,FRY682000003,"2,909",25.9,437558372.0,91322.0,"17,073,985",65.0,131588669.0,803725.0,"52,346","9,680,657",88146717.0,"46,616,431",97.0,"213,903",,80.0,"3,693,604",15.0,"4,728,071","5,923",,"3,913,562",,0,2020,5
JEALOUSY (feat. Cardi B),JEALOUSY (feat. Cardi B),Offset,2023-07-28,USUM72311135,"2,907",25.9,58058696.0,20289.0,"18,874,374",56.0,31124272.0,674922.0,"8,543","7,585,680",62820921.0,"267,510,966",18.0,"35,668",359,11.0,"189,549",35.0,"18,553,797","2,371",,"519,567",,1,2023,7
Clash (feat. Stormzy),Clash (feat. Stormzy),Dave,2021-07-08,GBUM72103840,"2,898",25.9,237619076.0,109634.0,"9,288,222",61.0,83880421.0,827499.0,"29,127","12,773,383",121310762.0,"13,321,285",68.0,"6,889",6,10.0,"95,781",21.0,"248,457",109,,"995,591",,1,2021,7
Salt,Salt (The Remixes),Ava Max,2019-12-12,USAT21906991,"2,891",25.9,388802420.0,56080.0,"8,025,213",62.0,267992366.0,1873271.0,"416,848","90,667,312",1836584524.0,"16,367,818",49.0,"178,796",,41.0,"423,672",6.0,"36,658,628","20,389","6,142,628","4,056,404",,0,2019,12
Fire On Fire,Fire On Fire,Sam Smith,2018-12-21,GBUM71807533,"2,900",25.9,697834321.0,85430.0,"22,166,821",70.0,408377555.0,3474229.0,"845,344","162,079,342",1362132192.0,"462,620,095",23.0,"3,131",,11.0,"104,452",9.0,"39,317,515","45,186",,"4,296,434",,0,2018,12
Problema,Problema,Carlos Agassi,2023-09-27,TCAHM2313718,"2,904",25.9,125395.0,32.0,"2,558",,,,"1,100,739","21,961,859",325076048.0,,,,,,,,,,,380,,1,2023,9
Shoong! (feat. LISA of BLACKPINK),Down to Earth,TAEYANG,2023-04-25,KSA002300722,"2,903",25.9,156994096.0,14231.0,"5,565,204",61.0,147699486.0,22687.0,"15,086","27,140,570",180459570.0,"53,993,902",17.0,"3,500",18,3.0,"19,908",11.0,"959,435",375,,"628,505",,0,2023,4
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,2019-05-29,USUG11900730,"2,931",25.8,239850720.0,49483.0,"7,561,353",58.0,137567703.0,1400248.0,"494,841","93,154,485",592960684.0,"14,347,458",20.0,15,,4.0,205,9.0,"74,465,169","23,860","51,398,155","2,282,568",,1,2019,5
Boyz In Paris (with VINAI),Boyz In Paris (with VINAI),Marnik,2023-07-28,FR9W12333643,"2,919",25.8,136709117.0,28764.0,"62,770,976",73.0,5623146.0,62157.0,"1,046","438,190",11060327.0,"3,380,195",34.0,"17,195",,72.0,"1,464,103",16.0,,,,"1,065,826",,1,2023,7
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,2018-10-16,USQX91802455,"2,929",25.8,987061577.0,170786.0,"42,953,760",73.0,118458946.0,1182389.0,"87,128","32,067,807",219224269.0,"5,644,556",164.0,"5,728",178,65.0,"915,322",27.0,"18,478,625","37,571",,"5,057,667",,0,2018,10
Ngozi,Trench to Triumph,Crayon,2023-07-21,US23A1567556,"2,928",25.8,48581084.0,11373.0,"7,780,743",65.0,35448614.0,206819.0,"549,399","23,105,995",270727164.0,"65,962,506",38.0,"3,397",9,2.0,"51,430",22.0,"21,965",146,,"1,291,258",,0,2023,7
i am not who i was,i am not who i was - Single,Chance Peï¿½,2023-09-21,QZTPX2322912,"2,910",25.8,188215390.0,24322.0,"21,529,351",,3624497.0,,"6,448","2,220,665",21944041.0,"29,364,635",6.0,"1,022",217,3.0,"1,026,164",,"9,796,656",668,,"222,417",,0,2023,9
Single Again,Single Again,Harmonize,2023-02-19,HKC371724447,"2,915",25.8,,3.0,4,,31741874.0,229907.0,"1,904,084","16,348,061",230507109.0,,,,,,,,,,,,,0,2023,2
July,July,Noah Cyrus,2019-07-31,USQX91901092,"2,927",25.8,977870118.0,115565.0,"34,759,006",80.0,122949402.0,1540598.0,"177,051","97,555,124",348624319.0,"4,872,508",64.0,"20,650",257,42.0,"258,576",17.0,"120,010,927","66,285",,"1,097,743",,0,2019,7
Perro Fiel (feat. Nicky Jam),El Dorado,Shakira,2017-05-26,USSD11700143,"2,911",25.8,433482670.0,36243.0,"15,506,067",62.0,1080335262.0,3910533.0,"389,080","26,721,389",415634670.0,"162,147,951",49.0,"14,262",59,24.0,"279,219",29.0,"83,819,443","30,684",,"3,345,147",,0,2017,5
Andamos Mejor,Andamos Mejor,Los Gemelos De Sinaloa,2022-01-24,USDXS2200425,"2,930",25.8,209092342.0,22379.0,"7,376,777",63.0,265900557.0,1262410.0,"246,700","11,562,330",200533647.0,186,6.0,20,,,,6.0,"71,876,275","11,600",,"443,034",,0,2022,1
Drag Me Down,Drag Me Down,One Direction,2015-07-31,GBHMU1500070,"2,921",25.8,1125333823.0,110189.0,"62,083,784",76.0,1124359897.0,10115690.0,"139,963","23,957,571",175883717.0,"548,604,090",88.0,"17,232",89,45.0,"582,485",22.0,,,,"4,226,136",,0,2015,7
Tu Turrito,Tu Turrito,Rei,2022-05-04,UYB282208022,"2,918",25.8,187818818.0,26770.0,"6,270,168",57.0,291692983.0,1352658.0,"154,200","30,899,907",365176711.0,"757,784",8.0,"2,741",,8.0,"55,693",2.0,,,,"187,231",,0,2022,5
greedy,greedy (Official Video),Tate McRae,2023-09-14,USRV82300987,"2,913",25.8,1256101755.0,,,,,,,,,,,,,,,,,,,,,1,2023,9
ýýýý ýýýýýýýýýý,ýýýý ýýýýýýýýýý,ANNA ASTI,2022-06-03,RUA1D2242027,"2,922",25.8,21081306.0,7633.0,"496,465",51.0,375871120.0,962835.0,"31,931","3,332,788",74908911.0,"27,887,420",20.0,"1,266",,,,,,,,"1,180,992",,0,2022,6
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,QMJMT2002693,"2,923",25.8,609716786.0,136864.0,"31,328,182",69.0,280056.0,4102.0,"182,019","153,184,031",1195714328.0,,57.0,"2,436","1,626",22.0,"24,028",18.0,"42,232,240","43,579","5,318,764","3,251,229",,1,2020,3
